Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Stand Alone Villa,7500000.0,4,5,"1,000",No,Unknown,Cash,Unknown,Core & Shell,Obour City,فيلا للبيع في العبور كمبوند الجولف سيتي,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,7900000.0,3,3,185,No,Mountain View iCity,Cash or Installment,2025,Unknown,6th of October,Mountain View ”ONE STORY VILLA” I-city october,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12000000.0,5,6,650,No,Rehab City,Cash,Ready to move,Finished,Rehab City,فيلا للبيع في الرحاب ستاندالون تشطيبات خاصة بالكامل بحمام سباحة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,7100000.0,3,3,195,Unknown,Taj City,Cash or Installment,soon,Semi Finished,New Cairo - El Tagamoa,توين هاوس فاخر بالتقسيط ع 8سنين وبمقدم 5%فقط في تاج فيلا التجمع الخامس,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Town House,5690000.0,4,3,320,No,Zahya,Installment,Ready to move,Finished,Mansura,فيلا استلام فورى بالمنصورة الجديده متشطبه 320 متر سنين تقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8630000.0,4,3,270,Unknown,Village West,Installment,Unknown,Not Finished,Sheikh Zayed,#11 توين هاوس للبيع 270م تقسيط بجانب هايبروان الشيخ زايد VILLAGE VILLA,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8000000.0,5,5,650,No,Rayhanah Residence,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا بموقع مميز للبيع بكمبوند ريحانة ريزيدنس امام الرحاب مباشرة rehana,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3950000.0,5,5,353,No,El Shorouk Springs,Cash or Installment,Ready to move,Semi Finished,Shorouk City,تاون هاوس٣٥٣  م للبيع بكمبوند الشروق اسبرينجز,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3700000.0,3,2,145,Yes,La Vista City,Unknown,Ready to move,Finished,Ain Sukhna,فيلا 145 متر في لافيستا 5 العين السخنة فيو البحر وحمام السباحة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,7900000.0,4,4,400,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا توين هاوس مميزة للبيع بكمبوند لايان صبور بفيو مميز layan sabbour,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3386000.0,3,3,355,Unknown,Unknown,Installment,within 6 months,Semi Finished,New Cairo - El Tagamoa,فيلا مستقلة للبيع في سيتي جيت ديار القطرية  - التجمع الخامس,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,1600000.0,5,4,311,Unknown,Unknown,Installment,Ready to move,Semi Finished,Sheikh Zayed,توين استلام فوري وقسط ع 6سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,7100000.0,4,4,195,Unknown,Taj City,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,توين فيلا للبيع في تاج سيتي التجمع الخامس بأقل مقدم وأطول فترة سداد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,4200000.0,3,3,254,No,Mena Garden City,Cash,Ready to move,Semi Finished,6th of October,Town House with the lowest price in Mena garden city semi finished,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,6100000.0,4,4,320,No,EL Patio 4,Cash,Ready to move,Not Finished,Shorouk City,فيلا للبيع بسعر مميز بكمبوند الباتيو فيو بانوراما على حمامات السباحة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5800000.0,4,3,248,No,Dyar,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,تاون هاوس جاهز للإستلام الفوري في ديار بارك,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,11000000.0,4,5,800,Yes,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,للبيع فيلا في كمبوند حي الندي - الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8500000.0,4,4,280,No,Hyde Park New Cairo,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا ستاند الون في كمبوند هايد بارك استلام فوري  فيو مميز جدا,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,27000000.0,4,6,780,Unknown,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,ڤيلا للبيع في كايرو فستيفال سيتى موقع مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,12500000.0,10+,10+,565,No,Not in Compound,Cash,Ready to move,Core & Shell,New Cairo - El Tagamoa,فيلا كامله للبيع الدور علي شقتين ناصيه بحري بالياسمين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10000000.0,3,4,450,No,Hyde Park New Cairo,Cash,Ready to move,Unknown,New Cairo - El Tagamoa,فيلا ستاند الون للبيع بكمبوند هايد بارك التجمع الخامس فوري Hyde park,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,2100000.0,4,3,246,Unknown,Unknown,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,Villa For Sale In Sodic East Ready To Move,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9044000.0,4,3,251,No,Sodic East,Cash or Installment,2024,Semi Finished,Shorouk City,ڤيلتك ف الشروق بالتقسيط ع8 سنين ف سوديك ايست الشروق بسعر لقطه,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Town House,6830000.0,5,2,256,No,Unknown,Cash or Installment,Unknown,Semi Finished,6th of October,تاون هاوس للبيع لقطة لمحبي الفرص الاستثمارية! بهايد بارك اكتوبر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15000000.0,10+,10+,"1,000",No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,اكبر قصر للبيع في الياسمين 1000 متر,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,17100000.0,4,4,385,No,Azzar,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa,فيلا فى ازار 2 التجمع الخامس villa for sale at azzar2 new cairo,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,5600000.0,4,4,313,No,Mountain View Chillout Park,Cash,Ready to move,Core & Shell,6th of October,Standalone type B prime location in chillout park fully finished,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,10840000.0,6,5,390,No,EL Patio Prime,Cash or Installment,Ready to move,Semi Finished,Shorouk City,For sale Villa Standalon Immediate receipt in El Patio Prime La Vista,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,302500.0,4,4,200,Unknown,Unknown,Cash or Installment,Unknown,Finished,10th of Ramadan,فيلا للبيع Town House فى كمبوند البروج بالتقسيط على 14 سنة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable
Stand Alone Villa,12000000.0,5,5,550,No,Fountain Park,Cash,Unknown,Finished,New Cairo - El Tagamoa,Distinguish and unique Stand Alone Villa for sale Fountain Park Tagmoo,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,14500000.0,3,3,450,Unknown,Mivida,Unknown,Ready to move,Finished,New Cairo - El Tagamoa,LOWEST PRICE | luxurious finishing | villa for sale in Mivida,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8500000.0,9,6,600,Unknown,Unknown,Cash,Ready to move,Finished,West Somid,فيلا سوبر لوكس غرب سوميد بسعر تجاري,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,1569736.0,4,2,230,Unknown,Palm Hills New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa,بأقل مقدم تاون هاوس في بالم هيلز القاهرة الجديدة palm hills new cairo,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3000000.0,5,3,313,No,Unknown,Cash or Installment,Unknown,Semi Finished,6th of October,فيلا للبيع 313م استلام فوري في ماونتن فيو تشيل اوت بارك mountain view,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,11400000.0,3,3,279,Unknown,Mivida,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,توين هاوس ميدل 279 م رائع باطلالة مذهلة في ميفيدا-اعمار,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5650000.0,4,4,245,No,Sodic East,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,توين هاوس للبيع استلام فوري بموقع متميز في سوديك ايست ريسيل,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5945000.0,4,4,265,No,Keeva,Cash or Installment,soon,Semi Finished,Sheikh Zayed,prime location  townhouse corner(kevaa),Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,7000000.0,4,3,269,No,Rehab City,Cash,Ready to move,Finished,Rehab City,فيللا للبيع بالرحاب 269 متر بالمطبخ و التكييفات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Twin House,8751311.0,3,4,263,Unknown,Cleopatra Square,Cash or Installment,Ready to move,Unknown,6th of October,توين هاوس جاهز للسكن بخصم15٪ للكاش كليوباترا سكوير  Cleopatra Square,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,2886000.0,3,3,280,Unknown,Unknown,Installment,2024,Semi Finished,New Cairo - El Tagamoa,توين هاوس للبيع في سيتي جيت ديار القطرية التجمع,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9000000.0,5,5,700,Unknown,Unknown,Cash,Ready to move,Semi Finished,6th of October,فيلا ستاند الون كمبوند جاردينيا بارك 2 موقع مميز للبيع,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,4000000.0,10+,10+,550,Unknown,Unknown,Unknown,Unknown,Unknown,West Somid,فيلا للبيع مساحه ٥٥٠ متر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9021000.0,3,3,377,Unknown,Sodic East,Cash or Installment,soon,Semi Finished,Shorouk City,بدون مقدم امتلك فيلا 377 م وقسط على 8 سنوات من سوديك,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,16000000.0,3,3,"1,100",Yes,Unknown,Cash,Ready to move,Finished,Gouna,foe sale three bedrooms villa,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,10000000.0,3,3,275,No,Madinaty,Cash,Ready to move,Finished,Madinaty,انتهز الفرصة فيلا مباني 275م فيو البحيرات لايتكرر بمدينتي,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,17500000.0,6,7,"1,070",Unknown,Les Rois,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا بأسعار زمان كالقصر ١٠٧٠م كمبوند لوروا لوكيشن ممتاز على البحيرة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,4000000.0,4,3,230,Unknown,Unknown,Installment,soon,Semi Finished,6th of October,تاون هاوس للبيع في ماونتن فيو علي بحيرة وبسعر مميز Y1,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,6500000.0,4,5,357,No,Unknown,Installment,2024,Semi Finished,Sheikh Zayed,امتلك فيلا في الشيخ زايد بمقدم 5 % قسط على 7 سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,4800000.0,3,3,167,No,Taj City,Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلتك بسعر شقة باحدث مرحلة ب TAJ CITY بقسط 8 سنين ب ELECT امام المطار,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,535000.0,3,2,180,Unknown,Unknown,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,تاون هاوس بجاردن للبيع في التجمع بجوار اكاديمه الشرطه,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3350000.0,4,4,220,Unknown,Mountain View 3,Cash or Installment,2026,Semi Finished,New Cairo - El Tagamoa,TOWN HOUSE MIDDLE IN MOUNTAIN VIEW 3 (NEW CAIRO ),Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8763570.0,5,5,281,No,Etapa,Cash or Installment,within 6 months,Semi Finished,Sheikh Zayed,فيلا توين هاوس للبيع بايتابا الشيخ زايد استلام خلال شهور,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,5202000.0,5,4,238,No,Maadi View,Installment,soon,Semi Finished,Shorouk City,فيلتك في كمبوند معادي فيو الشروق بمقدم 10% وتسهيلات على 7سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,21000000.0,4,4,770,Unknown,Unknown,Unknown,Unknown,Unknown,Rehab City,فيلا بحمام سباحه للبيع بالرحاب هيلز تشطيبات الترا سوبر لوكس,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,7750000.0,5,3,333,No,Selena,Cash or Installment,2026,Not Finished,Sheikh Zayed,stand alone villa for sale 333m | الشيخ زايد الجديدة| تقسيط حتي 9 سنين,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5250000.0,4,3,370,No,Riviera Heights,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,امتلك توين هاوس 370 م نصف تشطيب فى كمبوند فى جولدن سكوير,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Town House,245000.0,4,3,260,No,Sarai,Cash or Installment,Unknown,Core & Shell,New Cairo - El Tagamoa,S VILLA للبيع ٢٦٠ متر +١٥٠جاردن في كمبوند اقساط حتي ٨ سنين بدون فوائد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18799000.0,4,4,450,No,Unknown,Cash or Installment,2024,Finished,Ain Sukhna,نظام قسط علي 12 سنه و مقدم 5% امتلك فيلا 450م في المونت الجلاله,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Stand Alone Villa,15026733.0,6,5,412,No,Reem Residence,Installment,Ready to move,Semi Finished,6th of October,بمقدم 20% امتلك فيلا 412 م بكمبوند Reem Residence موقع مميز ب 6 أكتوبر,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,8000000.0,4,3,390,No,Rehab City,Cash,Ready to move,Finished,Rehab City,فيلا للبيع نموذج t جنب افينيو مول بالرحاب 2,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,2250000.0,5,4,254,No,Unknown,Cash,Ready to move,Semi Finished,Shorouk City,تاون هاوس كورنر بأفضل كمبوند سكني كمبوند المقاولين العرب بمدينة الشروق,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
